"VGS
References : ['DC.IDS.i']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","VDS
References : ['DC.IDS.i']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","DC.IDS.i
References : []
Dependency : [VGS,VDS]
Num. Points : [101,33]
Matrix Size : scalar
Type : Real"
-2.7800,29.0000,0.1181
-2.7800,30.0000,0.1183
-2.7800,31.0000,0.1184
-2.7800,32.0000,0.1185
-2.7700,0.0000,1.3992E-40
-2.7700,1.0000,0.0169
-2.7700,2.0000,0.0540
-2.7700,3.0000,0.0716
-2.7700,4.0000,0.0818
-2.7700,5.0000,0.0889
-2.7700,6.0000,0.0943
-2.7700,7.0000,0.0986
-2.7700,8.0000,0.1022
-2.7700,9.0000,0.1052
-2.7700,10.0000,0.1079
-2.7700,11.0000,0.1102
-2.7700,12.0000,0.1122
-2.7700,13.0000,0.1140
-2.7700,14.0000,0.1155
-2.7700,15.0000,0.1169
-2.7700,16.0000,0.1182
-2.7700,17.0000,0.1192
-2.7700,18.0000,0.1202
-2.7700,19.0000,0.1210
-2.7700,20.0000,0.1217
-2.7700,21.0000,0.1224
-2.7700,22.0000,0.1229
-2.7700,23.0000,0.1234
-2.7700,24.0000,0.1237
-2.7700,25.0000,0.1241
-2.7700,26.0000,0.1244
-2.7700,27.0000,0.1246
-2.7700,28.0000,0.1249
-2.7700,29.0000,0.1250
-2.7700,30.0000,0.1252
-2.7700,31.0000,0.1253
-2.7700,32.0000,0.1254
-2.7600,0.0000,1.3992E-40
-2.7600,1.0000,0.0197
-2.7600,2.0000,0.0594
-2.7600,3.0000,0.0777
-2.7600,4.0000,0.0883
-2.7600,5.0000,0.0956
-2.7600,6.0000,0.1011
-2.7600,7.0000,0.1056
-2.7600,8.0000,0.1092
-2.7600,9.0000,0.1123
-2.7600,10.0000,0.1150
-2.7600,11.0000,0.1173
-2.7600,12.0000,0.1194
-2.7600,13.0000,0.1212
-2.7600,14.0000,0.1227
-2.7600,15.0000,0.1241
-2.7600,16.0000,0.1254
-2.7600,17.0000,0.1264
-2.7600,18.0000,0.1274
-2.7600,19.0000,0.1282
-2.7600,20.0000,0.1289
-2.7600,21.0000,0.1296
-2.7600,22.0000,0.1301
-2.7600,23.0000,0.1305
-2.7600,24.0000,0.1308
