"freq
References : ['MAG','dB(S21)','dB(S(1,1))']
Dependency : [freq]
Num. Points : [5901]
Matrix Size : scalar
Type : Real","MAG
References : []
Dependency : [freq]
Num. Points : [5901]
Matrix Size : scalar
Type : Real","dB(S21)
References : []
Dependency : [freq]
Num. Points : [5901]
Matrix Size : scalar
Type : Real","dB(S(1,1))
References : []
Dependency : [freq]
Num. Points : [5901]
Matrix Size : scalar
Type : Real"
6.060E8,26.761,12.707,-0.961
6.070E8,26.730,12.172,-0.856
6.080E8,26.699,11.651,-0.765
6.090E8,26.668,11.146,-0.688
6.100E8,26.638,10.660,-0.622
6.110E8,26.607,10.192,-0.565
6.120E8,26.577,9.744,-0.516
6.130E8,26.546,9.314,-0.474
6.140E8,26.516,8.901,-0.437
6.150E8,26.486,8.506,-0.405
6.160E8,26.456,8.128,-0.377
6.170E8,26.426,7.764,-0.352
6.180E8,26.396,7.415,-0.330
6.190E8,26.366,7.080,-0.310
6.200E8,26.337,6.758,-0.293
6.210E8,26.307,6.448,-0.277
6.220E8,26.277,6.150,-0.263
6.230E8,26.248,5.863,-0.250
6.240E8,26.219,5.585,-0.238
6.250E8,26.189,5.317,-0.228
6.260E8,26.160,5.059,-0.218
6.270E8,26.131,4.809,-0.209
6.280E8,26.102,4.567,-0.201
6.290E8,26.073,4.333,-0.194
6.300E8,26.044,4.106,-0.187
6.310E8,26.015,3.886,-0.181
6.320E8,25.986,3.673,-0.175
6.330E8,25.958,3.466,-0.169
6.340E8,25.929,3.265,-0.164
6.350E8,25.900,3.069,-0.159
6.360E8,25.872,2.879,-0.155
6.370E8,25.844,2.694,-0.151
6.380E8,25.815,2.515,-0.147
6.390E8,25.787,2.339,-0.144
6.400E8,25.759,2.169,-0.140
6.410E8,25.731,2.002,-0.137
6.420E8,25.703,1.840,-0.134
6.430E8,25.675,1.682,-0.131
6.440E8,25.647,1.527,-0.129
6.450E8,25.619,1.377,-0.126
6.460E8,25.592,1.229,-0.124
6.470E8,25.564,1.085,-0.121
6.480E8,25.536,0.945,-0.119
6.490E8,25.509,0.807,-0.117
6.500E8,25.482,0.673,-0.115
6.510E8,25.454,0.541,-0.113
6.520E8,25.427,0.412,-0.112
6.530E8,25.400,0.286,-0.110
6.540E8,25.373,0.163,-0.109
6.550E8,25.345,0.042,-0.107
6.560E8,25.318,-0.076,-0.106
6.570E8,25.291,-0.193,-0.104
6.580E8,25.265,-0.306,-0.103
6.590E8,25.238,-0.418,-0.102
6.600E8,25.211,-0.527,-0.100
6.610E8,25.184,-0.635,-0.099
6.620E8,25.158,-0.740,-0.098
6.630E8,25.131,-0.843,-0.097
6.640E8,25.105,-0.945,-0.096
6.650E8,25.078,-1.044,-0.095
6.660E8,25.052,-1.142,-0.094
6.670E8,25.026,-1.238,-0.093
6.680E8,24.999,-1.333,-0.093
6.690E8,24.973,-1.425,-0.092
6.700E8,24.947,-1.516,-0.091
6.710E8,24.921,-1.606,-0.090
6.720E8,24.895,-1.694,-0.090
6.730E8,24.869,-1.781,-0.089
6.740E8,24.843,-1.866,-0.088
6.750E8,24.817,-1.950,-0.088
6.760E8,24.792,-2.032,-0.087
6.770E8,24.766,-2.113,-0.086
6.780E8,24.740,-2.193,-0.086
6.790E8,24.715,-2.271,-0.085
6.800E8,24.689,-2.348,-0.085
6.810E8,24.664,-2.424,-0.084
6.820E8,24.638,-2.499,-0.084
6.830E8,24.613,-2.573,-0.083
6.840E8,24.588,-2.646,-0.083
6.850E8,24.562,-2.717,-0.082
6.860E8,24.537,-2.787,-0.082
6.870E8,24.512,-2.857,-0.081
6.880E8,24.487,-2.925,-0.081
6.890E8,24.462,-2.993,-0.081
6.900E8,24.437,-3.059,-0.080
6.910E8,24.412,-3.124,-0.080
6.920E8,24.387,-3.189,-0.080
6.930E8,24.362,-3.252,-0.079
6.940E8,24.338,-3.315,-0.079
6.950E8,24.313,-3.377,-0.079
6.960E8,24.288,-3.438,-0.078
6.970E8,24.264,-3.498,-0.078
6.980E8,24.239,-3.557,-0.078
6.990E8,24.215,-3.615,-0.078
7.000E8,24.190,-3.673,-0.077
7.010E8,24.166,-3.730,-0.077
7.020E8,24.142,-3.786,-0.077
7.030E8,24.117,-3.841,-0.077
7.040E8,24.093,-3.896,-0.076
7.050E8,24.069,-3.949,-0.076
7.060E8,24.045,-4.003,-0.076
7.070E8,24.021,-4.055,-0.076
7.080E8,23.997,-4.107,-0.076
7.090E8,23.973,-4.158,-0.075
7.100E8,23.949,-4.208,-0.075
7.110E8,23.925,-4.258,-0.075
7.120E8,23.901,-4.307,-0.075
7.130E8,23.877,-4.356,-0.075
7.140E8,23.853,-4.404,-0.075
7.150E8,23.830,-4.451,-0.074
7.160E8,23.806,-4.498,-0.074
7.170E8,23.782,-4.544,-0.074
7.180E8,23.759,-4.590,-0.074
7.190E8,23.735,-4.635,-0.074
7.200E8,23.712,-4.679,-0.074
7.210E8,23.688,-4.723,-0.074
7.220E8,23.665,-4.766,-0.074
7.230E8,23.642,-4.809,-0.073
7.240E8,23.618,-4.852,-0.073
7.250E8,23.595,-4.893,-0.073
7.260E8,23.572,-4.935,-0.073
7.270E8,23.549,-4.976,-0.073
7.280E8,23.525,-5.016,-0.073
7.290E8,23.502,-5.056,-0.073
7.300E8,23.479,-5.095,-0.073
7.310E8,23.456,-5.134,-0.073
7.320E8,23.433,-5.173,-0.073
7.330E8,23.410,-5.211,-0.073
7.340E8,23.388,-5.248,-0.073
7.350E8,23.365,-5.286,-0.073
7.360E8,23.342,-5.322,-0.073
7.370E8,23.319,-5.359,-0.073
7.380E8,23.296,-5.395,-0.073
7.390E8,23.274,-5.430,-0.073
7.400E8,23.251,-5.465,-0.072
7.410E8,23.229,-5.500,-0.072
7.420E8,23.206,-5.534,-0.072
7.430E8,23.183,-5.568,-0.072
7.440E8,23.161,-5.602,-0.072
7.450E8,23.139,-5.635,-0.072
7.460E8,23.116,-5.668,-0.072
7.470E8,23.094,-5.700,-0.072
7.480E8,23.072,-5.732,-0.072
7.490E8,23.049,-5.764,-0.072
